기준연월,구,사고건수,사망자수,부상자수
2016년 1월,종로구,0,0,0
2016년 2월,종로구,2,0,2
2016년 3월,종로구,0,0,0
2016년 4월,종로구,4,0,4
2016년 5월,종로구,1,0,1
2016년 6월,종로구,5,0,5
2016년 7월,종로구,2,0,3
2016년 8월,종로구,5,0,5
2016년 9월,종로구,1,0,1
2016년 10월,종로구,2,0,2
2016년 11월,종로구,0,0,0
2016년 12월,종로구,0,0,0
2017년 1월,종로구,1,0,1
2017년 2월,종로구,1,0,1
2017년 3월,종로구,3,0,3
2017년 4월,종로구,2,0,2
2017년 5월,종로구,4,0,4
2017년 6월,종로구,5,0,5
2017년 7월,종로구,3,0,3
2017년 8월,종로구,1,0,1
2017년 9월,종로구,2,0,2
2017년 10월,종로구,3,0,3
2017년 11월,종로구,2,0,2
2017년 12월,종로구,2,0,2
2018년 1월,종로구,1,0,1
2018년 2월,종로구,2,0,2
2018년 3월,종로구,3,0,3
2018년 4월,종로구,0,0,0
2018년 5월,종로구,1,0,1
2018년 6월,종로구,3,0,3
2018년 7월,종로구,1,0,1
2018년 8월,종로구,3,0,3
2018년 9월,종로구,3,0,3
2018년 10월,종로구,3,0,3
2018년 11월,종로구,1,0,2
2018년 12월,종로구,0,0,0
2019년 1월,종로구,2,0,2
2019년 2월,종로구,1,0,1
2019년 3월,종로구,2,0,2
2019년 4월,종로구,2,0,2
2019년 5월,종로구,2,1,1
2019년 6월,종로구,1,0,1
2019년 7월,종로구,2,0,2
2019년 8월,종로구,3,0,3
2019년 9월,종로구,2,0,2
2019년 10월,종로구,1,0,1
2019년 11월,종로구,1,0,1
2019년 12월,종로구,0,0,0
2020년 1월,종로구,1,0,1
2020년 2월,종로구,0,0,0
2020년 3월,종로구,1,0,1
2020년 4월,종로구,1,0,1
2020년 5월,종로구,2,0,3
2020년 6월,종로구,1,0,1
2020년 7월,종로구,5,0,6
2020년 8월,종로구,1,0,1
2020년 9월,종로구,1,0,1
2020년 10월,종로구,2,0,3
2020년 11월,종로구,3,1,3
2020년 12월,종로구,2,0,2
2016년 1월,중구,1,0,1
2016년 2월,중구,0,0,0
2016년 3월,중구,0,0,0
2016년 4월,중구,2,0,2
2016년 5월,중구,0,0,0
2016년 6월,중구,0,0,0
2016년 7월,중구,1,0,1
2016년 8월,중구,0,0,0
2016년 9월,중구,2,0,2
2016년 10월,중구,0,0,0
2016년 11월,중구,0,0,0
2016년 12월,중구,0,0,0
2017년 1월,중구,2,0,2
2017년 2월,중구,0,0,0
2017년 3월,중구,1,0,1
2017년 4월,중구,0,0,0
2017년 5월,중구,2,0,2
2017년 6월,중구,1,0,1
2017년 7월,중구,0,0,0
2017년 8월,중구,0,0,0
2017년 9월,중구,3,0,3
2017년 10월,중구,2,0,2
2017년 11월,중구,1,0,1
2017년 12월,중구,0,0,0
2018년 1월,중구,0,0,0
2018년 2월,중구,1,0,1
2018년 3월,중구,1,0,1
2018년 4월,중구,1,0,1
2018년 5월,중구,5,0,5
2018년 6월,중구,1,0,1
2018년 7월,중구,1,0,1
2018년 8월,중구,0,0,0
2018년 9월,중구,1,0,1
2018년 10월,중구,1,0,1
2018년 11월,중구,2,1,1
2018년 12월,중구,0,0,0
2019년 1월,중구,1,0,1
2019년 2월,중구,1,0,1
2019년 3월,중구,2,0,2
2019년 4월,중구,3,0,4
2019년 5월,중구,2,0,2
2019년 6월,중구,0,0,0
2019년 7월,중구,4,0,4
2019년 8월,중구,3,0,3
2019년 9월,중구,3,0,3
2019년 10월,중구,1,0,2
2019년 11월,중구,1,0,1
2019년 12월,중구,2,0,2
2020년 1월,중구,1,0,1
2020년 2월,중구,0,0,0
2020년 3월,중구,0,0,0
2020년 4월,중구,2,0,2
2020년 5월,중구,5,0,6
2020년 6월,중구,2,0,2
2020년 7월,중구,2,0,2
2020년 8월,중구,0,0,0
2020년 9월,중구,1,0,1
2020년 10월,중구,3,0,3
2020년 11월,중구,4,0,4
2020년 12월,중구,0,0,0
2016년 1월,용산구,1,0,1
2016년 2월,용산구,4,0,4
2016년 3월,용산구,2,0,2
2016년 4월,용산구,3,0,3
2016년 5월,용산구,3,0,3
2016년 6월,용산구,6,0,6
2016년 7월,용산구,2,0,2
2016년 8월,용산구,7,0,8
2016년 9월,용산구,13,0,18
2016년 10월,용산구,5,0,6
2016년 11월,용산구,2,0,2
2016년 12월,용산구,0,0,0
2017년 1월,용산구,2,0,2
2017년 2월,용산구,0,0,0
2017년 3월,용산구,1,0,2
2017년 4월,용산구,2,0,2
2017년 5월,용산구,7,0,9
2017년 6월,용산구,8,0,9
2017년 7월,용산구,4,0,5
2017년 8월,용산구,2,0,3
2017년 9월,용산구,8,0,8
2017년 10월,용산구,7,0,7
2017년 11월,용산구,0,0,0
2017년 12월,용산구,0,0,0
2018년 1월,용산구,0,0,0
2018년 2월,용산구,0,0,0
2018년 3월,용산구,2,0,4
2018년 4월,용산구,4,0,5
2018년 5월,용산구,3,0,7
2018년 6월,용산구,7,0,8
2018년 7월,용산구,4,0,4
2018년 8월,용산구,2,0,2
2018년 9월,용산구,2,0,2
2018년 10월,용산구,0,0,0
2018년 11월,용산구,0,0,0
2018년 12월,용산구,2,0,2
2019년 1월,용산구,0,0,0
2019년 2월,용산구,0,0,0
2019년 3월,용산구,0,0,0
2019년 4월,용산구,3,0,3
2019년 5월,용산구,5,0,5
2019년 6월,용산구,3,0,3
2019년 7월,용산구,2,0,2
2019년 8월,용산구,6,0,7
2019년 9월,용산구,1,0,1
2019년 10월,용산구,0,0,0
2019년 11월,용산구,1,0,1
2019년 12월,용산구,1,0,1
2020년 1월,용산구,0,0,0
2020년 2월,용산구,2,0,3
2020년 3월,용산구,3,0,3
2020년 4월,용산구,2,0,3
2020년 5월,용산구,2,0,3
2020년 6월,용산구,3,0,3
2020년 7월,용산구,3,0,4
2020년 8월,용산구,1,0,1
2020년 9월,용산구,1,0,1
2020년 10월,용산구,0,0,0
2020년 11월,용산구,1,0,1
2020년 12월,용산구,0,0,0
2016년 1월,성동구,2,0,3
2016년 2월,성동구,0,0,0
2016년 3월,성동구,2,0,2
2016년 4월,성동구,7,1,6
2016년 5월,성동구,12,0,12
2016년 6월,성동구,7,0,8
2016년 7월,성동구,6,0,6
2016년 8월,성동구,7,0,10
2016년 9월,성동구,9,0,11
2016년 10월,성동구,4,0,4
2016년 11월,성동구,5,0,5
2016년 12월,성동구,2,0,2
2017년 1월,성동구,2,0,2
2017년 2월,성동구,0,0,0
2017년 3월,성동구,7,0,7
2017년 4월,성동구,7,0,8
2017년 5월,성동구,9,0,9
2017년 6월,성동구,11,0,11
2017년 7월,성동구,6,1,5
2017년 8월,성동구,4,1,3
2017년 9월,성동구,7,0,7
2017년 10월,성동구,5,0,7
2017년 11월,성동구,4,0,4
2017년 12월,성동구,1,0,1
2018년 1월,성동구,3,0,3
2018년 2월,성동구,1,0,1
2018년 3월,성동구,2,0,2
2018년 4월,성동구,4,0,4
2018년 5월,성동구,7,0,9
2018년 6월,성동구,8,1,8
2018년 7월,성동구,3,0,4
2018년 8월,성동구,5,0,5
2018년 9월,성동구,6,0,7
2018년 10월,성동구,6,0,6
2018년 11월,성동구,2,0,2
2018년 12월,성동구,0,0,0
2019년 1월,성동구,4,0,4
2019년 2월,성동구,4,0,5
2019년 3월,성동구,2,0,2
2019년 4월,성동구,5,0,5
2019년 5월,성동구,7,0,8
2019년 6월,성동구,9,0,10
2019년 7월,성동구,8,0,9
2019년 8월,성동구,3,0,3
2019년 9월,성동구,10,0,11
2019년 10월,성동구,6,0,6
2019년 11월,성동구,1,0,1
2019년 12월,성동구,4,0,4
2020년 1월,성동구,2,0,2
2020년 2월,성동구,3,0,3
2020년 3월,성동구,5,0,5
2020년 4월,성동구,9,0,10
2020년 5월,성동구,8,0,10
2020년 6월,성동구,14,0,15
2020년 7월,성동구,7,0,9
2020년 8월,성동구,9,1,9
2020년 9월,성동구,16,0,18
2020년 10월,성동구,13,0,13
2020년 11월,성동구,6,0,7
2020년 12월,성동구,1,0,1
2016년 1월,동대문구,6,0,6
2016년 2월,동대문구,5,0,5
2016년 3월,동대문구,8,0,9
2016년 4월,동대문구,10,0,11
2016년 5월,동대문구,10,0,10
2016년 6월,동대문구,18,0,18
2016년 7월,동대문구,14,0,15
2016년 8월,동대문구,9,0,11
2016년 9월,동대문구,19,1,21
2016년 10월,동대문구,16,0,16
2016년 11월,동대문구,9,0,9
2016년 12월,동대문구,4,0,4
2017년 1월,동대문구,6,0,7
2017년 2월,동대문구,4,0,4
2017년 3월,동대문구,9,1,8
2017년 4월,동대문구,9,0,9
2017년 5월,동대문구,8,0,8
2017년 6월,동대문구,14,0,15
2017년 7월,동대문구,15,0,16
2017년 8월,동대문구,8,0,8
2017년 9월,동대문구,14,0,15
2017년 10월,동대문구,10,0,10
2017년 11월,동대문구,8,0,8
2017년 12월,동대문구,2,0,2
2018년 1월,동대문구,6,0,6
2018년 2월,동대문구,7,0,7
2018년 3월,동대문구,7,0,7
2018년 4월,동대문구,8,0,9
2018년 5월,동대문구,14,0,18
2018년 6월,동대문구,17,0,19
2018년 7월,동대문구,9,0,9
2018년 8월,동대문구,7,0,8
2018년 9월,동대문구,11,0,11
2018년 10월,동대문구,8,1,8
2018년 11월,동대문구,7,0,8
2018년 12월,동대문구,4,0,4
2019년 1월,동대문구,5,0,5
2019년 2월,동대문구,3,0,4
2019년 3월,동대문구,5,0,5
2019년 4월,동대문구,9,0,11
2019년 5월,동대문구,11,0,13
2019년 6월,동대문구,9,0,10
2019년 7월,동대문구,12,0,14
2019년 8월,동대문구,11,0,13
2019년 9월,동대문구,15,1,15
2019년 10월,동대문구,13,0,13
2019년 11월,동대문구,11,0,11
2019년 12월,동대문구,6,0,6
2020년 1월,동대문구,5,0,5
2020년 2월,동대문구,3,0,3
2020년 3월,동대문구,15,0,17
2020년 4월,동대문구,6,0,8
2020년 5월,동대문구,11,0,12
2020년 6월,동대문구,10,0,12
2020년 7월,동대문구,12,0,13
2020년 8월,동대문구,7,0,8
2020년 9월,동대문구,12,0,12
2020년 10월,동대문구,17,0,19
2020년 11월,동대문구,10,0,10
2020년 12월,동대문구,6,0,7
2016년 1월,성북구,3,0,3
2016년 2월,성북구,2,0,2
2016년 3월,성북구,6,0,6
2016년 4월,성북구,6,0,6
2016년 5월,성북구,5,0,5
2016년 6월,성북구,6,0,6
2016년 7월,성북구,5,0,5
2016년 8월,성북구,3,0,3
2016년 9월,성북구,1,0,1
2016년 10월,성북구,3,0,3
2016년 11월,성북구,1,0,1
2016년 12월,성북구,2,0,2
2017년 1월,성북구,1,0,1
2017년 2월,성북구,3,0,3
2017년 3월,성북구,4,0,4
2017년 4월,성북구,4,0,4
2017년 5월,성북구,7,0,7
2017년 6월,성북구,5,0,6
2017년 7월,성북구,8,0,8
2017년 8월,성북구,4,0,6
2017년 9월,성북구,7,0,8
2017년 10월,성북구,3,0,3
2017년 11월,성북구,5,1,4
2017년 12월,성북구,0,0,0
2018년 1월,성북구,1,0,1
2018년 2월,성북구,3,0,3
2018년 3월,성북구,2,0,2
2018년 4월,성북구,4,0,4
2018년 5월,성북구,5,0,5
2018년 6월,성북구,4,0,4
2018년 7월,성북구,2,0,2
2018년 8월,성북구,4,0,4
2018년 9월,성북구,6,0,6
2018년 10월,성북구,2,0,2
2018년 11월,성북구,5,0,5
2018년 12월,성북구,3,0,3
2019년 1월,성북구,0,0,0
2019년 2월,성북구,0,0,0
2019년 3월,성북구,3,0,4
2019년 4월,성북구,6,0,6
2019년 5월,성북구,11,0,11
2019년 6월,성북구,3,0,4
2019년 7월,성북구,2,0,2
2019년 8월,성북구,2,0,2
2019년 9월,성북구,1,0,1
2019년 10월,성북구,4,0,4
2019년 11월,성북구,4,0,4
2019년 12월,성북구,1,0,1
2020년 1월,성북구,7,0,9
2020년 2월,성북구,3,0,3
2020년 3월,성북구,3,0,3
2020년 4월,성북구,2,0,2
2020년 5월,성북구,3,0,3
2020년 6월,성북구,1,0,1
2020년 7월,성북구,8,0,9
2020년 8월,성북구,2,0,2
2020년 9월,성북구,3,0,3
2020년 10월,성북구,5,0,6
2020년 11월,성북구,2,0,2
2020년 12월,성북구,1,0,1
2016년 1월,도봉구,4,0,4
2016년 2월,도봉구,1,0,1
2016년 3월,도봉구,8,0,8
2016년 4월,도봉구,7,0,9
2016년 5월,도봉구,7,1,6
2016년 6월,도봉구,7,0,8
2016년 7월,도봉구,9,0,9
2016년 8월,도봉구,9,0,9
2016년 9월,도봉구,6,0,8
2016년 10월,도봉구,8,0,10
2016년 11월,도봉구,3,0,3
2016년 12월,도봉구,1,0,1
2017년 1월,도봉구,1,0,1
2017년 2월,도봉구,4,0,4
2017년 3월,도봉구,3,0,4
2017년 4월,도봉구,8,0,8
2017년 5월,도봉구,7,0,7
2017년 6월,도봉구,5,0,5
2017년 7월,도봉구,8,0,8
2017년 8월,도봉구,10,0,10
2017년 9월,도봉구,7,0,7
2017년 10월,도봉구,6,0,7
2017년 11월,도봉구,6,0,6
2017년 12월,도봉구,1,0,1
2018년 1월,도봉구,2,0,2
2018년 2월,도봉구,3,0,3
2018년 3월,도봉구,2,0,2
2018년 4월,도봉구,6,0,6
2018년 5월,도봉구,6,1,5
2018년 6월,도봉구,3,0,3
2018년 7월,도봉구,2,0,2
2018년 8월,도봉구,6,0,6
2018년 9월,도봉구,6,0,6
2018년 10월,도봉구,4,0,5
2018년 11월,도봉구,4,0,4
2018년 12월,도봉구,1,0,1
2019년 1월,도봉구,4,0,5
2019년 2월,도봉구,3,0,3
2019년 3월,도봉구,5,0,5
2019년 4월,도봉구,2,0,2
2019년 5월,도봉구,10,0,18
2019년 6월,도봉구,11,0,14
2019년 7월,도봉구,4,0,6
2019년 8월,도봉구,6,0,6
2019년 9월,도봉구,6,0,6
2019년 10월,도봉구,7,0,8
2019년 11월,도봉구,3,0,3
2019년 12월,도봉구,1,0,1
2020년 1월,도봉구,2,0,2
2020년 2월,도봉구,4,0,4
2020년 3월,도봉구,2,1,1
2020년 4월,도봉구,4,0,4
2020년 5월,도봉구,8,0,9
2020년 6월,도봉구,9,0,9
2020년 7월,도봉구,10,0,12
2020년 8월,도봉구,2,0,2
2020년 9월,도봉구,4,0,4
2020년 10월,도봉구,8,0,9
2020년 11월,도봉구,4,0,4
2020년 12월,도봉구,0,0,0
2016년 1월,은평구,0,0,0
2016년 2월,은평구,1,0,1
2016년 3월,은평구,5,0,5
2016년 4월,은평구,6,0,6
2016년 5월,은평구,7,0,7
2016년 6월,은평구,7,0,10
2016년 7월,은평구,8,0,8
2016년 8월,은평구,7,0,7
2016년 9월,은평구,7,1,10
2016년 10월,은평구,5,1,5
2016년 11월,은평구,0,0,0
2016년 12월,은평구,3,0,3
2017년 1월,은평구,3,0,3
2017년 2월,은평구,2,0,2
2017년 3월,은평구,5,0,5
2017년 4월,은평구,3,0,3
2017년 5월,은평구,3,0,3
2017년 6월,은평구,7,0,8
2017년 7월,은평구,7,0,7
2017년 8월,은평구,5,0,5
2017년 9월,은평구,8,0,8
2017년 10월,은평구,1,0,1
2017년 11월,은평구,7,0,7
2017년 12월,은평구,0,0,0
2018년 1월,은평구,3,0,3
2018년 2월,은평구,1,0,1
2018년 3월,은평구,2,0,2
2018년 4월,은평구,5,0,5
2018년 5월,은평구,3,0,4
2018년 6월,은평구,7,0,7
2018년 7월,은평구,8,1,7
2018년 8월,은평구,5,0,5
2018년 9월,은평구,10,0,11
2018년 10월,은평구,2,0,3
2018년 11월,은평구,3,0,3
2018년 12월,은평구,2,0,3
2019년 1월,은평구,2,0,2
2019년 2월,은평구,6,0,8
2019년 3월,은평구,3,0,3
2019년 4월,은평구,2,0,2
2019년 5월,은평구,8,0,8
2019년 6월,은평구,10,0,12
2019년 7월,은평구,6,0,6
2019년 8월,은평구,7,1,7
2019년 9월,은평구,4,0,4
2019년 10월,은평구,6,0,9
2019년 11월,은평구,8,0,8
2019년 12월,은평구,0,0,0
2020년 1월,은평구,1,0,1
2020년 2월,은평구,3,0,4
2020년 3월,은평구,6,0,8
2020년 4월,은평구,2,0,3
2020년 5월,은평구,1,0,1
2020년 6월,은평구,5,0,5
2020년 7월,은평구,6,1,5
2020년 8월,은평구,3,0,3
2020년 9월,은평구,8,0,8
2020년 10월,은평구,1,0,1
2020년 11월,은평구,4,0,4
2020년 12월,은평구,3,0,3
2016년 1월,서대문구,0,0,0
2016년 2월,서대문구,1,0,1
2016년 3월,서대문구,3,0,3
2016년 4월,서대문구,6,0,7
2016년 5월,서대문구,4,0,4
2016년 6월,서대문구,2,0,2
2016년 7월,서대문구,4,1,3
2016년 8월,서대문구,7,0,8
2016년 9월,서대문구,2,0,2
2016년 10월,서대문구,4,0,4
2016년 11월,서대문구,2,0,2
2016년 12월,서대문구,1,0,1
2017년 1월,서대문구,0,0,0
2017년 2월,서대문구,3,0,4
2017년 3월,서대문구,2,0,2
2017년 4월,서대문구,2,0,2
2017년 5월,서대문구,2,0,2
2017년 6월,서대문구,7,0,8
2017년 7월,서대문구,1,0,1
2017년 8월,서대문구,2,0,2
2017년 9월,서대문구,0,0,0
2017년 10월,서대문구,3,0,3
2017년 11월,서대문구,3,0,4
2017년 12월,서대문구,1,0,1
2018년 1월,서대문구,1,0,1
2018년 2월,서대문구,1,0,1
2018년 3월,서대문구,1,0,1
2018년 4월,서대문구,8,0,8
2018년 5월,서대문구,2,0,2
2018년 6월,서대문구,6,0,8
2018년 7월,서대문구,5,0,6
2018년 8월,서대문구,2,0,3
2018년 9월,서대문구,3,0,4
2018년 10월,서대문구,1,0,1
2018년 11월,서대문구,0,0,0
2018년 12월,서대문구,0,0,0
2019년 1월,서대문구,3,0,3
2019년 2월,서대문구,1,0,1
2019년 3월,서대문구,2,0,2
2019년 4월,서대문구,3,0,3
2019년 5월,서대문구,2,0,2
2019년 6월,서대문구,4,0,4
2019년 7월,서대문구,11,1,11
2019년 8월,서대문구,5,0,5
2019년 9월,서대문구,4,0,4
2019년 10월,서대문구,4,0,5
2019년 11월,서대문구,4,0,4
2019년 12월,서대문구,5,0,5
2020년 1월,서대문구,2,0,2
2020년 2월,서대문구,2,1,1
2020년 3월,서대문구,4,0,4
2020년 4월,서대문구,4,0,4
2020년 5월,서대문구,2,0,2
2020년 6월,서대문구,6,0,6
2020년 7월,서대문구,4,0,4
2020년 8월,서대문구,2,0,2
2020년 9월,서대문구,4,0,5
2020년 10월,서대문구,3,0,4
2020년 11월,서대문구,2,0,2
2020년 12월,서대문구,3,0,3
2016년 1월,마포구,0,0,0
2016년 2월,마포구,2,0,2
2016년 3월,마포구,3,0,3
2016년 4월,마포구,10,0,11
2016년 5월,마포구,5,0,6
2016년 6월,마포구,4,0,4
2016년 7월,마포구,5,0,6
2016년 8월,마포구,4,0,4
2016년 9월,마포구,11,0,11
2016년 10월,마포구,4,0,5
2016년 11월,마포구,3,0,3
2016년 12월,마포구,1,0,1
2017년 1월,마포구,1,0,1
2017년 2월,마포구,4,0,4
2017년 3월,마포구,1,0,1
2017년 4월,마포구,2,0,2
2017년 5월,마포구,8,0,8
2017년 6월,마포구,6,0,6
2017년 7월,마포구,3,0,3
2017년 8월,마포구,11,0,12
2017년 9월,마포구,5,0,5
2017년 10월,마포구,5,0,5
2017년 11월,마포구,1,0,1
2017년 12월,마포구,1,0,1
2018년 1월,마포구,0,0,0
2018년 2월,마포구,1,0,1
2018년 3월,마포구,2,0,2
2018년 4월,마포구,2,0,2
2018년 5월,마포구,3,1,2
2018년 6월,마포구,4,0,5
2018년 7월,마포구,3,0,3
2018년 8월,마포구,7,0,7
2018년 9월,마포구,7,0,7
2018년 10월,마포구,5,0,6
2018년 11월,마포구,7,0,7
2018년 12월,마포구,4,0,4
2019년 1월,마포구,1,0,1
2019년 2월,마포구,1,0,1
2019년 3월,마포구,3,0,3
2019년 4월,마포구,1,0,1
2019년 5월,마포구,6,0,7
2019년 6월,마포구,5,0,6
2019년 7월,마포구,6,0,7
2019년 8월,마포구,5,0,6
2019년 9월,마포구,4,0,5
2019년 10월,마포구,8,0,8
2019년 11월,마포구,8,0,9
2019년 12월,마포구,4,0,4
2020년 1월,마포구,2,0,3
2020년 2월,마포구,2,0,2
2020년 3월,마포구,2,0,4
2020년 4월,마포구,4,0,4
2020년 5월,마포구,11,0,12
2020년 6월,마포구,7,0,8
2020년 7월,마포구,10,0,12
2020년 8월,마포구,1,0,1
2020년 9월,마포구,6,0,6
2020년 10월,마포구,5,0,6
2020년 11월,마포구,1,0,1
2020년 12월,마포구,0,0,0
2016년 1월,강서구,5,0,5
2016년 2월,강서구,4,0,4
2016년 3월,강서구,11,1,10
2016년 4월,강서구,12,0,12
2016년 5월,강서구,15,0,15
2016년 6월,강서구,19,0,19
2016년 7월,강서구,12,0,14
2016년 8월,강서구,8,0,8
2016년 9월,강서구,14,0,15
2016년 10월,강서구,15,0,15
2016년 11월,강서구,7,0,7
2016년 12월,강서구,3,0,3
2017년 1월,강서구,4,0,4
2017년 2월,강서구,4,0,4
2017년 3월,강서구,5,0,5
2017년 4월,강서구,8,0,8
2017년 5월,강서구,12,0,15
2017년 6월,강서구,16,1,17
2017년 7월,강서구,10,1,10
2017년 8월,강서구,8,0,9
2017년 9월,강서구,5,0,6
2017년 10월,강서구,8,0,8
2017년 11월,강서구,4,0,4
2017년 12월,강서구,3,0,3
2018년 1월,강서구,3,0,3
2018년 2월,강서구,1,0,1
2018년 3월,강서구,2,0,2
2018년 4월,강서구,4,0,4
2018년 5월,강서구,6,1,5
2018년 6월,강서구,8,0,8
2018년 7월,강서구,8,0,8
2018년 8월,강서구,9,0,9
2018년 9월,강서구,4,0,4
2018년 10월,강서구,7,0,8
2018년 11월,강서구,6,0,6
2018년 12월,강서구,1,0,1
2019년 1월,강서구,4,0,4
2019년 2월,강서구,6,0,7
2019년 3월,강서구,2,0,3
2019년 4월,강서구,2,0,2
2019년 5월,강서구,3,0,3
2019년 6월,강서구,8,0,9
2019년 7월,강서구,3,0,3
2019년 8월,강서구,14,0,16
2019년 9월,강서구,10,0,11
2019년 10월,강서구,8,0,9
2019년 11월,강서구,8,0,8
2019년 12월,강서구,4,0,4
2020년 1월,강서구,1,0,1
2020년 2월,강서구,4,0,4
2020년 3월,강서구,2,0,2
2020년 4월,강서구,6,0,6
2020년 5월,강서구,8,0,9
2020년 6월,강서구,14,0,16
2020년 7월,강서구,6,0,6
2020년 8월,강서구,8,0,9
2020년 9월,강서구,7,0,9
2020년 10월,강서구,7,0,7
2020년 11월,강서구,4,0,4
2020년 12월,강서구,6,0,6
2016년 1월,구로구,4,1,3
2016년 2월,구로구,0,0,0
2016년 3월,구로구,5,0,5
2016년 4월,구로구,10,0,11
2016년 5월,구로구,5,0,5
2016년 6월,구로구,7,0,7
2016년 7월,구로구,7,0,8
2016년 8월,구로구,16,0,17
2016년 9월,구로구,10,0,14
2016년 10월,구로구,9,0,10
2016년 11월,구로구,8,0,8
2016년 12월,구로구,3,1,2
2017년 1월,구로구,2,0,2
2017년 2월,구로구,0,0,0
2017년 3월,구로구,6,0,6
2017년 4월,구로구,3,0,3
2017년 5월,구로구,6,0,7
2017년 6월,구로구,4,0,4
2017년 7월,구로구,1,0,1
2017년 8월,구로구,4,0,4
2017년 9월,구로구,4,0,4
2017년 10월,구로구,9,0,9
2017년 11월,구로구,6,0,6
2017년 12월,구로구,4,0,5
2018년 1월,구로구,2,0,2
2018년 2월,구로구,4,0,4
2018년 3월,구로구,6,0,7
2018년 4월,구로구,1,0,1
2018년 5월,구로구,5,0,5
2018년 6월,구로구,7,0,10
2018년 7월,구로구,6,0,7
2018년 8월,구로구,4,0,4
2018년 9월,구로구,5,0,5
2018년 10월,구로구,7,0,7
2018년 11월,구로구,3,0,4
2018년 12월,구로구,3,0,3
2019년 1월,구로구,2,0,2
2019년 2월,구로구,2,0,2
2019년 3월,구로구,7,0,7
2019년 4월,구로구,10,0,10
2019년 5월,구로구,8,0,9
2019년 6월,구로구,9,0,10
2019년 7월,구로구,4,0,5
2019년 8월,구로구,5,0,6
2019년 9월,구로구,4,0,5
2019년 10월,구로구,8,0,10
2019년 11월,구로구,9,0,9
2019년 12월,구로구,3,0,3
2020년 1월,구로구,5,0,7
2020년 2월,구로구,5,0,5
2020년 3월,구로구,4,0,4
2020년 4월,구로구,2,0,2
2020년 5월,구로구,6,0,8
2020년 6월,구로구,7,0,8
2020년 7월,구로구,9,0,10
2020년 8월,구로구,4,0,4
2020년 9월,구로구,5,0,5
2020년 10월,구로구,5,0,6
2020년 11월,구로구,5,0,5
2020년 12월,구로구,1,0,1
2016년 1월,영등포구,7,0,8
2016년 2월,영등포구,5,0,5
2016년 3월,영등포구,15,0,17
2016년 4월,영등포구,15,0,16
2016년 5월,영등포구,20,1,21
2016년 6월,영등포구,19,0,23
2016년 7월,영등포구,21,0,23
2016년 8월,영등포구,26,0,30
2016년 9월,영등포구,34,0,39
2016년 10월,영등포구,13,0,13
2016년 11월,영등포구,14,0,17
2016년 12월,영등포구,4,0,4
2017년 1월,영등포구,4,0,4
2017년 2월,영등포구,6,0,6
2017년 3월,영등포구,11,0,12
2017년 4월,영등포구,11,0,11
2017년 5월,영등포구,23,0,27
2017년 6월,영등포구,12,0,12
2017년 7월,영등포구,8,0,8
2017년 8월,영등포구,26,0,29
2017년 9월,영등포구,17,1,19
2017년 10월,영등포구,17,0,20
2017년 11월,영등포구,9,0,9
2017년 12월,영등포구,6,0,6
2018년 1월,영등포구,7,0,7
2018년 2월,영등포구,5,1,4
2018년 3월,영등포구,10,0,10
2018년 4월,영등포구,18,0,20
2018년 5월,영등포구,13,0,16
2018년 6월,영등포구,15,1,15
2018년 7월,영등포구,24,0,28
